Time,Channel A,Channel B
(us),(V),(V)

-50.32243280,0.08163702,3.34543900
-50.00243280,0.08163702,3.30088200
-49.68243280,0.08163702,3.25632500
-49.36243280,0.08163702,3.30088200
-49.04243281,0.08163702,3.34543900
-48.72243281,0.08163702,3.34543900
-48.40243281,0.08163702,3.34543900
-48.08243281,0.08163702,3.34543900
-47.76243281,0.08163702,3.34543900
-47.44243282,0.08163702,3.30088200
-47.12243282,0.08163702,3.30088200
-46.80243282,0.08163702,3.34543900
-46.48243282,0.08163702,3.34543900
-46.16243282,0.08163702,3.34543900
-45.84243283,0.08163702,3.34543900
-45.52243283,0.08163702,3.30088200
-45.20243283,0.08163702,3.30088200
-44.88243283,0.08163702,3.34543900
-44.56243283,0.08163702,3.34543900
-44.24243284,0.08163702,3.34543900
-43.92243284,0.08163702,3.34543900
-43.60243284,0.08163702,3.30088200
-43.28243284,0.08163702,3.34543900
-42.96243284,0.08163702,3.34543900
-42.64243285,0.08163702,3.34543900
-42.32243285,0.08163702,3.34543900
-42.00243285,0.08163702,3.30088200
-41.68243285,0.12604140,3.34543900
-41.36243285,0.08163702,3.34543900
-41.04243285,0.08163702,3.34543900
-40.72243286,0.08163702,3.34543900
-40.40243286,0.08163702,3.30088200
-40.08243286,0.08163702,3.30088200
-39.76243286,0.08163702,3.30088200
-39.44243286,0.08163702,3.30088200
-39.12243287,0.08163702,3.34543900
-38.80243287,0.08163702,3.34543900
-38.48243287,0.08163702,3.34543900
-38.16243287,0.08163702,3.34543900
-37.84243287,0.08163702,3.30088200
-37.52243288,0.08163702,3.30088200
-37.20243288,0.08163702,3.30088200
-36.88243288,0.08163702,3.34543900
-36.56243288,0.08163702,3.30088200
-36.24243288,0.08163702,3.30088200
-35.92243289,0.08163702,3.30088200
-35.60243289,0.08163702,3.30088200
-35.28243289,0.08163702,3.34543900
-34.96243289,0.08163702,3.34543900
-34.64243289,0.08163702,3.30088200
-34.32243290,0.08163702,3.34543900
-34.00243290,0.08163702,3.30088200
-33.68243290,0.08163702,3.30088200
-33.36243290,0.08163702,3.34543900
-33.04243290,0.08163702,3.34543900
-32.72243291,0.08163702,3.34543900
-32.40243291,0.08163702,3.30088200
-32.08243291,0.08163702,3.30088200
-31.76243291,0.08163702,3.30088200
-31.44243291,0.08163702,3.34543900
-31.12243292,0.12604140,3.34543900
-30.80243292,0.08163702,3.30088200
-30.48243292,0.08163702,3.25632500
-30.16243292,0.08163702,3.30088200
-29.84243292,0.08163702,3.30088200
-29.52243292,0.08163702,3.34543900
-29.20243293,0.08163702,3.34543900
-28.88243293,0.08163702,3.34543900
-28.56243293,0.08163702,3.30088200
-28.24243293,0.08163702,3.30088200
-27.92243293,0.08163702,3.34543900
-27.60243294,0.08163702,3.34543900
-27.28243294,0.08163702,3.34543900
-26.96243294,0.08163702,3.34543900
-26.64243294,0.08163702,3.25632500
-26.32243294,0.03723258,0.00335704
-26.00243295,0.08163702,0.04791406
-25.68243295,0.12604140,0.04791406
-25.36243295,0.08163702,0.04791406
-25.04243295,0.08163702,0.04791406
-24.72243295,0.08163702,0.04791406
-24.40243296,0.08163702,0.00335704
-24.08243296,0.08163702,0.04791406
-23.76243296,0.08163702,0.04791406
-23.44243296,0.08163702,0.04791406
-23.12243296,0.08163702,0.04791406
-22.80243297,0.08163702,0.00335704
-22.48243297,0.08163702,0.04791406
-22.16243297,0.08163702,0.04791406
-21.84243297,0.08163702,0.04791406
-21.52243297,0.08163702,0.04791406
-21.20243298,0.08163702,0.04791406
-20.88243298,0.08163702,0.04791406
-20.56243298,0.08163702,0.04791406
-20.24243298,0.08163702,0.04791406
-19.92243298,0.08163702,0.04791406
-19.60243299,0.08163702,0.04791406
-19.28243299,0.08163702,0.00335704
-18.96243299,0.08163702,0.00335704
-18.64243299,0.08163702,0.04791406
-18.32243299,0.08163702,0.04791406
-18.00243299,0.08163702,0.04791406
-17.68243300,0.08163702,0.04791406
-17.36243300,0.08163702,0.00335704
-17.04243300,0.08163702,0.00335704
-16.72243300,0.08163702,0.00335704
-16.40243300,0.08163702,0.04791406
-16.08243301,0.08163702,0.04791406
-15.76243301,0.08163702,0.00335704
-15.44243301,0.08163702,0.00335704
-15.12243301,0.08163702,0.00335704
-14.80243301,0.08163702,0.04791406
-14.48243302,0.08163702,0.04791406
-14.16243302,0.08163702,0.04791406
-13.84243302,0.08163702,0.04791406
-13.52243302,0.08163702,0.04791406
-13.20243302,0.08163702,0.04791406
-12.88243303,0.08163702,0.00335704
-12.56243303,0.08163702,0.04791406
-12.24243303,0.08163702,0.04791406
-11.92243303,0.08163702,0.04791406
-11.60243303,0.08163702,0.04791406
-11.28243304,0.08163702,0.00335704
-10.96243304,0.08163702,0.04791406
-10.64243304,0.08163702,0.04791406
-10.32243304,0.08163702,0.04791406
-10.00243304,0.08163702,0.04791406
-9.68243305,0.08163702,0.04791406
-9.36243305,0.08163702,0.04791406
-9.04243305,0.08163702,0.04791406
-8.72243305,0.08163702,0.04791406
-8.40243305,0.08163702,0.04791406
-8.08243306,0.08163702,0.04791406
-7.76243306,0.08163702,0.00335704
-7.44243306,0.08163702,0.00335704
-7.12243306,0.08163702,0.00335704
-6.80243306,0.08163702,0.04791406
-6.48243307,0.12604140,0.04791406
-6.16243307,0.08163702,0.04791406
-5.84243307,0.08163702,0.04791406
-5.52243307,0.08163702,0.04791406
-5.20243307,0.08163702,0.00335704
-4.88243307,0.08163702,0.04791406
-4.56243308,0.08163702,0.04791406
-4.24243308,0.08163702,0.04791406
-3.92243308,0.08163702,0.00335704
-3.60243308,0.08163702,0.00335704
-3.28243308,0.08163702,0.04791406
-2.96243309,0.08163702,0.04791406
-2.64243309,0.08163702,0.04791406
-2.32243309,0.08163702,0.04791406
-2.00243309,0.08163702,0.04791406
-1.68243309,0.08163702,0.00335704
-1.36243310,0.08163702,0.00335704
-1.04243310,0.08163702,0.04791406
-0.72243310,0.08163702,0.04791406
-0.40243310,0.08163702,0.00335704
-0.08243310,1.05960300,-0.04119999
0.23756689,3.28257100,0.00335704
0.55756689,3.28257100,0.04791406
0.87756689,3.28257100,0.04791406
1.19756689,3.28257100,0.04791406
1.51756689,3.28257100,0.00335704
1.83756688,3.28257100,0.00335704
2.15756688,3.28257100,0.00335704
2.47756688,3.28257100,0.04791406
2.79756688,3.28257100,0.04791406
3.11756688,3.28257100,0.04791406
3.43756687,3.28257100,0.00335704
3.75756687,3.28257100,0.04791406
4.07756687,3.28257100,0.00335704
4.39756687,3.28257100,0.04791406
4.71756687,3.28257100,0.04791406
5.03756686,0.08163702,0.00335704
5.35756686,0.08163702,0.04791406
5.67756686,0.08163702,0.00335704
5.99756686,0.08163702,0.04791406
6.31756686,0.08163702,0.00335704
6.63756686,0.08163702,0.04791406
6.95756685,0.08163702,0.04791406
7.27756685,0.08163702,0.04791406
7.59756685,0.08163702,0.00335704
7.91756685,0.08163702,0.00335704
8.23756685,0.08163702,0.00335704
8.55756684,0.12604140,0.04791406
8.87756684,0.08163702,0.04791406
9.19756684,0.08163702,0.00335704
9.51756684,0.08163702,0.00335704
9.83756684,0.08163702,0.00335704
10.15756683,3.28257100,0.04791406
10.47756683,3.28257100,0.00335704
10.79756683,3.28257100,0.04791406
11.11756683,3.28257100,0.00335704
11.43756683,3.28257100,0.04791406
11.75756682,3.28257100,0.00335704
12.07756682,3.28257100,0.04791406
12.39756682,3.28257100,0.04791406
12.71756682,3.28257100,0.04791406
13.03756682,3.28257100,0.04791406
13.35756681,3.28257100,0.00335704
13.67756681,3.28257100,0.00335704
13.99756681,3.28257100,0.04791406
14.31756681,3.28257100,0.04791406
14.63756681,3.28257100,0.04791406
14.95756680,3.28257100,0.04791406
15.27756680,0.08163702,0.00335704
15.59756680,0.08163702,0.04791406
15.91756680,0.08163702,0.04791406
16.23756680,0.12604140,0.04791406
16.55756679,0.08163702,0.04791406
16.87756679,0.08163702,0.00335704
17.19756679,0.08163702,0.00335704
17.51756679,0.12604140,0.00335704
17.83756679,0.08163702,0.00335704
18.15756679,0.08163702,0.00335704
18.47756678,0.08163702,0.04791406
18.79756678,0.08163702,0.04791406
19.11756678,0.08163702,0.00335704
19.43756678,0.08163702,0.04791406
19.75756678,0.12604140,0.04791406
20.07756677,3.28257100,0.04791406
20.39756677,3.28257100,0.04791406
20.71756677,3.28257100,0.04791406
21.03756677,3.28257100,0.00335704
21.35756677,3.28257100,0.04791406
21.67756676,3.28257100,0.04791406
21.99756676,3.28257100,0.04791406
22.31756676,3.28257100,0.00335704
22.63756676,3.28257100,0.00335704
22.95756676,3.28257100,0.04791406
23.27756675,3.28257100,0.00335704
23.59756675,3.28257100,0.00335704
23.91756675,3.28257100,0.00335704
24.23756675,3.28257100,0.00335704
24.55756675,3.28257100,0.04791406
24.87756674,3.28257100,0.00335704
25.19756674,0.08163702,0.04791406
25.51756674,0.08163702,0.00335704
25.83756674,0.12604140,0.00335704
26.15756674,0.08163702,0.04791406
26.47756673,0.08163702,0.00335704
26.79756673,0.08163702,0.04791406
27.11756673,0.08163702,0.04791406
27.43756673,0.12604140,0.04791406
27.75756673,0.08163702,0.04791406
28.07756672,0.08163702,0.04791406
28.39756672,0.08163702,0.00335704
28.71756672,0.08163702,0.00335704
29.03756672,0.08163702,0.00335704
29.35756672,0.08163702,0.04791406
29.67756672,0.08163702,0.04791406
29.99756671,0.08163702,0.00335704
30.31756671,3.28257100,0.00335704
30.63756671,3.28257100,0.00335704
30.95756671,3.28257100,0.00335704
31.27756671,3.28257100,0.04791406
31.59756670,3.28257100,0.00335704
31.91756670,3.28257100,0.04791406
32.23756670,3.28257100,0.00335704
32.55756670,3.28257100,0.04791406
32.87756670,3.28257100,0.04791406
33.19756669,3.28257100,0.00335704
33.51756669,3.28257100,0.04791406
33.83756669,3.28257100,0.00335704
34.15756669,3.28257100,0.04791406
34.47756669,3.28257100,0.00335704
34.79756668,3.28257100,0.04791406
35.11756668,0.12604140,0.04791406
35.43756668,0.08163702,0.04791406
35.75756668,0.08163702,0.04791406
36.07756668,0.08163702,0.00335704
36.39756667,0.08163702,0.00335704
36.71756667,0.08163702,0.00335704
37.03756667,0.12604140,0.00335704
37.35756667,0.12604140,0.04791406
37.67756667,0.08163702,0.00335704
37.99756666,0.08163702,0.04791406
38.31756666,0.08163702,0.00335704
38.63756666,0.08163702,0.00335704
38.95756666,0.08163702,0.04791406
39.27756666,0.08163702,0.00335704
39.59756665,0.08163702,0.00335704
39.91756665,0.08163702,0.00335704
40.23756665,3.28257100,0.00335704
40.55756665,3.28257100,0.00335704
40.87756665,3.28257100,0.04791406
41.19756665,3.28257100,0.04791406
41.51756664,3.28257100,0.00335704
41.83756664,3.28257100,0.00335704
42.15756664,3.28257100,0.00335704
42.47756664,3.28257100,0.04791406
42.79756664,3.28257100,0.00335704
43.11756663,3.28257100,0.04791406
43.43756663,3.28257100,0.00335704
43.75756663,3.28257100,0.00335704
44.07756663,3.28257100,0.00335704
44.39756663,3.28257100,0.04791406
44.71756662,3.28257100,0.04791406
45.03756662,3.28257100,0.04791406
