Time,Channel A,Channel B
(us),(V),(V)

-50.54550275,0.08163702,1.29551100
-50.22550275,0.08163702,1.29551100
-49.90550275,0.08163702,1.29551100
-49.58550275,0.08163702,1.29551100
-49.26550275,0.08163702,1.29551100
-48.94550275,0.08163702,1.29551100
-48.62550276,0.08163702,1.29551100
-48.30550276,0.08163702,1.29551100
-47.98550276,0.08163702,1.29551100
-47.66550276,0.08163702,1.29551100
-47.34550276,0.08163702,1.29551100
-47.02550277,0.08163702,1.29551100
-46.70550277,0.08163702,1.29551100
-46.38550277,0.08163702,1.29551100
-46.06550277,0.08163702,1.29551100
-45.74550277,0.08163702,1.29551100
-45.42550278,0.08163702,1.29551100
-45.10550278,0.08163702,1.29551100
-44.78550278,0.08163702,1.29551100
-44.46550278,0.08163702,1.29551100
-44.14550278,0.08163702,1.29551100
-43.82550279,0.08163702,1.29551100
-43.50550279,0.08163702,1.29551100
-43.18550279,0.08163702,1.29551100
-42.86550279,0.08163702,1.29551100
-42.54550279,0.08163702,1.29551100
-42.22550280,0.08163702,1.29551100
-41.90550280,0.08163702,1.29551100
-41.58550280,0.08163702,1.29551100
-41.26550280,0.08163702,1.29551100
-40.94550280,0.08163702,1.29551100
-40.62550281,0.08163702,1.29551100
-40.30550281,0.08163702,1.29551100
-39.98550281,0.08163702,1.29551100
-39.66550281,0.08163702,1.29551100
-39.34550281,0.08163702,1.29551100
-39.02550282,0.08163702,1.29551100
-38.70550282,0.08163702,1.29551100
-38.38550282,0.08163702,1.29551100
-38.06550282,0.08163702,1.29551100
-37.74550282,0.08163702,1.29551100
-37.42550282,0.08163702,1.29551100
-37.10550283,0.08163702,1.29551100
-36.78550283,0.08163702,1.29551100
-36.46550283,0.08163702,1.29551100
-36.14550283,0.08163702,1.29551100
-35.82550283,0.08163702,1.29551100
-35.50550284,0.08163702,1.29551100
-35.18550284,0.08163702,1.29551100
-34.86550284,0.08163702,1.29551100
-34.54550284,0.08163702,1.29551100
-34.22550284,0.08163702,1.29551100
-33.90550285,0.08163702,1.29551100
-33.58550285,0.08163702,1.29551100
-33.26550285,0.08163702,1.29551100
-32.94550285,0.08163702,1.29551100
-32.62550285,0.08163702,1.29551100
-32.30550286,0.08163702,1.29551100
-31.98550286,0.08163702,1.29551100
-31.66550286,0.08163702,1.29551100
-31.34550286,0.08163702,1.29551100
-31.02550286,0.08163702,1.29551100
-30.70550287,0.08163702,1.29551100
-30.38550287,0.08163702,1.29551100
-30.06550287,0.08163702,1.29551100
-29.74550287,0.08163702,1.29551100
-29.42550287,0.08163702,1.29551100
-29.10550288,0.08163702,1.29551100
-28.78550288,0.08163702,1.29551100
-28.46550288,0.08163702,1.29551100
-28.14550288,0.08163702,1.29551100
-27.82550288,0.08163702,1.29551100
-27.50550289,0.08163702,1.29551100
-27.18550289,0.08163702,1.29551100
-26.86550289,0.08163702,1.29551100
-26.54550289,0.08163702,1.29551100
-26.22550289,0.12604140,0.98361160
-25.90550289,0.08163702,1.11728300
-25.58550290,0.08163702,1.20639700
-25.26550290,0.08163702,1.25095400
-24.94550290,0.08163702,1.25095400
-24.62550290,0.08163702,1.29551100
-24.30550290,0.08163702,1.29551100
-23.98550291,0.08163702,1.29551100
-23.66550291,0.08163702,1.29551100
-23.34550291,0.08163702,1.29551100
-23.02550291,0.08163702,1.29551100
-22.70550291,0.08163702,1.29551100
-22.38550292,0.08163702,1.29551100
-22.06550292,0.08163702,1.29551100
-21.74550292,0.08163702,1.29551100
-21.42550292,0.08163702,1.29551100
-21.10550292,0.08163702,1.29551100
-20.78550293,0.08163702,1.29551100
-20.46550293,0.08163702,1.29551100
-20.14550293,0.08163702,1.29551100
-19.82550293,0.08163702,1.25095400
-19.50550293,0.08163702,1.29551100
-19.18550294,0.08163702,1.29551100
-18.86550294,0.08163702,1.29551100
-18.54550294,0.08163702,1.29551100
-18.22550294,0.08163702,1.29551100
-17.90550294,0.08163702,1.29551100
-17.58550295,0.08163702,1.29551100
-17.26550295,0.08163702,1.29551100
-16.94550295,0.08163702,1.29551100
-16.62550295,0.08163702,1.29551100
-16.30550295,0.08163702,1.29551100
-15.98550296,0.08163702,1.29551100
-15.66550296,0.08163702,1.29551100
-15.34550296,0.08163702,1.29551100
-15.02550296,0.08163702,1.29551100
-14.70550296,0.08163702,1.29551100
-14.38550296,0.08163702,1.29551100
-14.06550297,0.08163702,1.29551100
-13.74550297,0.08163702,1.29551100
-13.42550297,0.08163702,1.29551100
-13.10550297,0.08163702,1.29551100
-12.78550297,0.08163702,1.29551100
-12.46550298,0.08163702,1.29551100
-12.14550298,0.08163702,1.29551100
-11.82550298,0.08163702,1.29551100
-11.50550298,0.08163702,1.29551100
-11.18550298,0.08163702,1.29551100
-10.86550299,0.08163702,1.29551100
-10.54550299,0.08163702,1.29551100
-10.22550299,0.08163702,1.25095400
-9.90550299,0.08163702,1.29551100
-9.58550299,0.08163702,1.29551100
-9.26550300,0.08163702,1.29551100
-8.94550300,0.08163702,1.29551100
-8.62550300,0.08163702,1.29551100
-8.30550300,0.08163702,1.29551100
-7.98550300,0.08163702,1.29551100
-7.66550301,0.08163702,1.29551100
-7.34550301,0.08163702,1.29551100
-7.02550301,0.08163702,1.29551100
-6.70550301,0.08163702,1.29551100
-6.38550301,0.08163702,1.29551100
-6.06550302,0.08163702,1.29551100
-5.74550302,0.08163702,1.29551100
-5.42550302,0.08163702,1.29551100
-5.10550302,0.08163702,1.29551100
-4.78550302,0.08163702,1.29551100
-4.46550303,0.08163702,1.29551100
-4.14550303,0.08163702,1.29551100
-3.82550303,0.08163702,1.29551100
-3.50550303,0.08163702,1.29551100
-3.18550303,0.08163702,1.29551100
-2.86550303,0.08163702,1.29551100
-2.54550304,0.08163702,1.29551100
-2.22550304,0.08163702,1.25095400
-1.90550304,0.08163702,1.29551100
-1.58550304,0.08163702,1.29551100
-1.26550304,0.08163702,1.29551100
-0.94550305,0.08163702,1.29551100
-0.62550305,0.08163702,1.29551100
-0.30550305,0.08163702,1.29551100
0.01449695,1.68202800,1.34006800
0.33449695,3.28257100,1.34006800
0.65449694,3.28257100,1.29551100
0.97449694,3.28257100,1.29551100
1.29449694,3.28257100,1.29551100
1.61449694,3.28257100,1.29551100
1.93449694,3.28257100,1.29551100
2.25449693,3.28257100,1.29551100
2.57449693,3.28257100,1.29551100
2.89449693,3.28257100,1.29551100
3.21449693,3.28257100,1.25095400
3.53449693,3.28257100,1.29551100
3.85449692,3.28257100,1.29551100
4.17449692,3.28257100,1.29551100
4.49449692,3.28257100,1.29551100
4.81449692,3.28257100,1.29551100
5.13449692,0.08163702,0.93905450
5.45449691,0.08163702,1.11728300
5.77449691,0.08163702,1.20639700
6.09449691,0.08163702,1.25095400
6.41449691,0.08163702,1.29551100
6.73449691,0.08163702,1.29551100
7.05449690,0.08163702,1.29551100
7.37449690,0.08163702,1.25095400
7.69449690,0.08163702,1.29551100
8.01449690,0.08163702,1.29551100
8.33449690,0.08163702,1.29551100
8.65449690,0.08163702,1.29551100
8.97449689,0.08163702,1.29551100
9.29449689,0.08163702,1.29551100
9.61449689,0.08163702,1.29551100
9.93449689,0.08163702,1.29551100
10.25449689,3.28257100,1.34006800
10.57449688,3.28257100,1.29551100
10.89449688,3.28257100,1.29551100
11.21449688,3.28257100,1.29551100
11.53449688,3.28257100,1.29551100
11.85449688,3.28257100,1.29551100
12.17449687,3.28257100,1.29551100
12.49449687,3.23816700,1.29551100
12.81449687,3.28257100,1.25095400
13.13449687,3.28257100,1.29551100
13.45449687,3.28257100,1.29551100
13.77449686,3.28257100,1.29551100
14.09449686,3.28257100,1.29551100
14.41449686,3.28257100,1.25095400
14.73449686,3.28257100,1.25095400
15.05449686,2.52678000,1.42918200
15.37449685,0.12604140,1.38462500
15.69449685,0.08163702,1.34006800
16.01449685,0.08163702,1.29551100
16.33449685,0.08163702,1.29551100
16.65449685,0.08163702,1.29551100
16.97449684,0.08163702,1.29551100
17.29449684,0.08163702,1.29551100
17.61449684,0.08163702,1.29551100
17.93449684,0.08163702,1.29551100
18.25449684,0.08163702,1.29551100
18.57449683,0.08163702,1.29551100
18.89449683,0.08163702,1.29551100
19.21449683,0.08163702,1.29551100
19.53449683,0.12604140,1.29551100
19.85449683,0.08163702,1.29551100
20.17449683,3.28257100,1.38462500
20.49449682,3.28257100,1.29551100
20.81449682,3.28257100,1.29551100
21.13449682,3.28257100,1.29551100
21.45449682,3.28257100,1.29551100
21.77449682,3.28257100,1.29551100
22.09449681,3.28257100,1.29551100
22.41449681,3.28257100,1.29551100
22.73449681,3.28257100,1.29551100
23.05449681,3.28257100,1.29551100
23.37449681,3.28257100,1.29551100
23.69449680,3.28257100,1.29551100
24.01449680,3.28257100,1.29551100
24.33449680,3.28257100,1.29551100
24.65449680,3.28257100,1.29551100
24.97449680,3.28257100,1.29551100
25.29449679,0.08163702,1.02816900
25.61449679,0.08163702,1.16184000
25.93449679,0.08163702,1.20639700
26.25449679,0.08163702,1.25095400
26.57449679,0.08163702,1.29551100
26.89449678,0.08163702,1.29551100
27.21449678,0.12604140,1.29551100
27.53449678,0.08163702,1.29551100
27.85449678,0.08163702,1.29551100
28.17449678,0.08163702,1.29551100
28.49449677,0.08163702,1.29551100
28.81449677,0.08163702,1.29551100
29.13449677,0.08163702,1.29551100
29.45449677,0.08163702,1.29551100
29.77449677,0.08163702,1.29551100
30.09449676,0.08163702,1.29551100
30.41449676,3.28257100,1.34006800
30.73449676,3.28257100,1.29551100
31.05449676,3.28257100,1.29551100
31.37449676,3.28257100,1.29551100
31.69449676,3.28257100,1.29551100
32.01449675,3.23816700,1.29551100
32.33449675,3.28257100,1.29551100
32.65449675,3.28257100,1.29551100
32.97449675,3.28257100,1.29551100
33.29449675,3.28257100,1.29551100
33.61449674,3.28257100,1.29551100
33.93449674,3.28257100,1.29551100
34.25449674,3.28257100,1.29551100
34.57449674,3.28257100,1.29551100
34.89449674,3.28257100,1.29551100
35.21449673,0.08163702,1.20639700
35.53449673,0.08163702,1.25095400
35.85449673,0.08163702,1.25095400
36.17449673,0.12604140,1.29551100
36.49449673,0.08163702,1.29551100
36.81449672,0.08163702,1.29551100
37.13449672,0.08163702,1.29551100
37.45449672,0.08163702,1.29551100
37.77449672,0.08163702,1.29551100
38.09449672,0.12604140,1.29551100
38.41449671,0.12604140,1.29551100
38.73449671,0.12604140,1.29551100
39.05449671,0.08163702,1.29551100
39.37449671,0.08163702,1.29551100
39.69449671,0.08163702,1.29551100
40.01449670,0.08163702,1.29551100
40.33449670,3.28257100,1.38462500
40.65449670,3.28257100,1.29551100
40.97449670,3.28257100,1.29551100
41.29449670,3.28257100,1.29551100
41.61449669,3.28257100,1.29551100
41.93449669,3.28257100,1.29551100
42.25449669,3.28257100,1.29551100
42.57449669,3.28257100,1.29551100
42.89449669,3.28257100,1.29551100
43.21449669,3.28257100,1.29551100
43.53449668,3.28257100,1.29551100
43.85449668,3.28257100,1.29551100
44.17449668,3.28257100,1.29551100
44.49449668,3.28257100,1.29551100
44.81449668,3.28257100,1.29551100
45.13449667,3.28257100,1.29551100
