Time,Channel A,Channel B
(us),(V),(V)

-50.48384264,0.08163702,3.34543900
-50.16384264,0.08163702,3.30088200
-49.84384265,0.08163702,3.34543900
-49.52384265,0.12604140,3.34543900
-49.20384265,0.08163702,3.30088200
-48.88384265,0.08163702,3.34543900
-48.56384265,0.08163702,3.30088200
-48.24384266,0.08163702,3.30088200
-47.92384266,0.08163702,3.34543900
-47.60384266,0.08163702,3.34543900
-47.28384266,0.08163702,3.30088200
-46.96384266,0.08163702,3.30088200
-46.64384267,0.08163702,3.34543900
-46.32384267,0.08163702,3.30088200
-46.00384267,0.08163702,3.34543900
-45.68384267,0.08163702,3.34543900
-45.36384267,0.08163702,3.34543900
-45.04384268,0.08163702,3.34543900
-44.72384268,0.08163702,3.34543900
-44.40384268,0.08163702,3.34543900
-44.08384268,0.08163702,3.34543900
-43.76384268,0.08163702,3.34543900
-43.44384269,0.08163702,3.34543900
-43.12384269,0.08163702,3.30088200
-42.80384269,0.08163702,3.30088200
-42.48384269,0.08163702,3.34543900
-42.16384269,0.08163702,3.34543900
-41.84384269,0.08163702,3.34543900
-41.52384270,0.08163702,3.34543900
-41.20384270,0.08163702,3.30088200
-40.88384270,0.08163702,3.34543900
-40.56384270,0.12604140,3.34543900
-40.24384270,0.08163702,3.34543900
-39.92384271,0.08163702,3.34543900
-39.60384271,0.08163702,3.30088200
-39.28384271,0.08163702,3.30088200
-38.96384271,0.08163702,3.30088200
-38.64384271,0.08163702,3.34543900
-38.32384272,0.12604140,3.34543900
-38.00384272,0.08163702,3.34543900
-37.68384272,0.08163702,3.34543900
-37.36384272,0.08163702,3.34543900
-37.04384272,0.08163702,3.34543900
-36.72384273,0.12604140,3.34543900
-36.40384273,0.08163702,3.34543900
-36.08384273,0.08163702,3.34543900
-35.76384273,0.08163702,3.30088200
-35.44384273,0.08163702,3.30088200
-35.12384274,0.08163702,3.30088200
-34.80384274,0.08163702,3.34543900
-34.48384274,0.08163702,3.34543900
-34.16384274,0.08163702,3.34543900
-33.84384274,0.08163702,3.30088200
-33.52384275,0.08163702,3.30088200
-33.20384275,0.08163702,3.30088200
-32.88384275,0.08163702,3.34543900
-32.56384275,0.08163702,3.34543900
-32.24384275,0.08163702,3.34543900
-31.92384276,0.08163702,3.34543900
-31.60384276,0.08163702,3.30088200
-31.28384276,0.08163702,3.34543900
-30.96384276,0.08163702,3.34543900
-30.64384276,0.08163702,3.34543900
-30.32384276,0.08163702,3.34543900
-30.00384277,0.08163702,3.34543900
-29.68384277,0.08163702,3.34543900
-29.36384277,0.08163702,3.30088200
-29.04384277,0.08163702,3.34543900
-28.72384277,0.08163702,3.34543900
-28.40384278,0.08163702,3.34543900
-28.08384278,0.08163702,3.30088200
-27.76384278,0.08163702,3.30088200
-27.44384278,0.08163702,3.30088200
-27.12384278,0.08163702,3.30088200
-26.80384279,0.08163702,3.34543900
-26.48384279,0.08163702,3.34543900
-26.16384279,0.08163702,3.34543900
-25.84384279,0.08163702,3.30088200
-25.52384279,0.08163702,3.34543900
-25.20384280,0.08163702,3.34543900
-24.88384280,0.08163702,3.34543900
-24.56384280,0.08163702,3.34543900
-24.24384280,0.08163702,3.34543900
-23.92384280,0.08163702,3.34543900
-23.60384281,0.08163702,3.30088200
-23.28384281,0.08163702,3.34543900
-22.96384281,0.08163702,3.34543900
-22.64384281,0.08163702,3.34543900
-22.32384281,0.08163702,3.34543900
-22.00384282,0.08163702,3.30088200
-21.68384282,0.08163702,3.34543900
-21.36384282,0.08163702,3.34543900
-21.04384282,0.08163702,3.34543900
-20.72384282,0.08163702,3.34543900
-20.40384283,0.08163702,3.30088200
-20.08384283,0.08163702,3.30088200
-19.76384283,0.08163702,3.30088200
-19.44384283,0.08163702,3.34543900
-19.12384283,0.08163702,3.34543900
-18.80384283,0.08163702,3.34543900
-18.48384284,0.08163702,3.30088200
-18.16384284,0.08163702,3.34543900
-17.84384284,0.08163702,3.34543900
-17.52384284,0.08163702,3.30088200
-17.20384284,0.08163702,3.34543900
-16.88384285,0.08163702,3.34543900
-16.56384285,0.08163702,3.30088200
-16.24384285,0.08163702,3.34543900
-15.92384285,0.08163702,3.34543900
-15.60384285,0.08163702,3.34543900
-15.28384286,0.08163702,3.34543900
-14.96384286,0.08163702,3.34543900
-14.64384286,0.08163702,3.30088200
-14.32384286,0.08163702,3.30088200
-14.00384286,0.08163702,3.34543900
-13.68384287,0.12604140,3.30088200
-13.36384287,0.08163702,3.34543900
-13.04384287,0.08163702,3.34543900
-12.72384287,0.08163702,3.30088200
-12.40384287,0.08163702,3.30088200
-12.08384288,0.08163702,3.30088200
-11.76384288,0.08163702,3.34543900
-11.44384288,0.08163702,3.34543900
-11.12384288,0.08163702,3.34543900
-10.80384288,0.08163702,3.30088200
-10.48384289,0.08163702,3.34543900
-10.16384289,0.08163702,3.34543900
-9.84384289,0.08163702,3.34543900
-9.52384289,0.08163702,3.34543900
-9.20384289,0.08163702,3.34543900
-8.88384290,0.08163702,3.34543900
-8.56384290,0.08163702,3.34543900
-8.24384290,0.08163702,3.30088200
-7.92384290,0.08163702,3.34543900
-7.60384290,0.08163702,3.34543900
-7.28384290,0.08163702,3.34543900
-6.96384291,0.08163702,3.30088200
-6.64384291,0.08163702,3.34543900
-6.32384291,0.08163702,3.34543900
-6.00384291,0.08163702,3.34543900
-5.68384291,0.08163702,3.34543900
-5.36384292,0.08163702,3.34543900
-5.04384292,0.08163702,3.30088200
-4.72384292,0.08163702,3.30088200
-4.40384292,0.08163702,3.30088200
-4.08384292,0.08163702,3.34543900
-3.76384293,0.08163702,3.34543900
-3.44384293,0.08163702,3.34543900
-3.12384293,0.08163702,3.34543900
-2.80384293,0.08163702,3.34543900
-2.48384293,0.08163702,3.30088200
-2.16384294,0.08163702,3.34543900
-1.84384294,0.08163702,3.34543900
-1.52384294,0.08163702,3.34543900
-1.20384294,0.08163702,3.30088200
-0.88384294,0.08163702,3.34543900
-0.56384295,0.08163702,3.34543900
-0.24384295,0.08163702,3.34543900
0.07615705,2.08227800,3.34543900
0.39615705,3.28257100,3.30088200
0.71615705,3.23816700,3.30088200
1.03615704,3.28257100,3.30088200
1.35615704,3.28257100,3.34543900
1.67615704,3.28257100,3.34543900
1.99615704,3.28257100,3.34543900
2.31615704,3.28257100,3.30088200
2.63615703,3.28257100,3.34543900
2.95615703,3.28257100,3.30088200
3.27615703,3.28257100,3.34543900
3.59615703,3.28257100,3.34543900
3.91615703,3.28257100,3.34543900
4.23615703,3.28257100,3.30088200
4.55615702,3.28257100,3.30088200
4.87615702,3.28257100,3.34543900
5.19615702,0.08163702,0.13702810
5.51615702,0.12604140,0.13702810
5.83615702,0.08163702,0.13702810
6.15615701,0.08163702,0.13702810
6.47615701,0.08163702,0.09247109
6.79615701,0.08163702,0.13702810
7.11615701,0.12604140,0.13702810
7.43615701,0.08163702,0.13702810
7.75615700,0.08163702,0.13702810
8.07615700,0.08163702,0.09247109
8.39615700,0.08163702,0.09247109
8.71615700,0.08163702,0.09247109
9.03615700,0.08163702,0.13702810
9.35615699,0.08163702,0.13702810
9.67615699,0.08163702,0.13702810
9.99615699,0.08163702,0.13702810
10.31615699,3.28257100,0.09247109
10.63615699,3.28257100,0.13702810
10.95615698,3.28257100,0.13702810
11.27615698,3.28257100,0.09247109
11.59615698,3.28257100,0.09247109
11.91615698,3.28257100,0.13702810
12.23615698,3.28257100,0.09247109
12.55615697,3.28257100,0.09247109
12.87615697,3.28257100,0.09247109
13.19615697,3.28257100,0.13702810
13.51615697,3.28257100,0.13702810
13.83615697,3.28257100,0.13702810
14.15615696,3.28257100,0.09247109
14.47615696,3.28257100,0.09247109
14.79615696,3.28257100,0.13702810
15.11615696,1.45985300,1.47389100
15.43615696,0.08163702,3.34543900
15.75615696,0.08163702,3.30088200
16.07615695,0.08163702,3.30088200
16.39615695,0.08163702,3.30088200
16.71615695,0.08163702,3.34543900
17.03615695,0.12604140,3.34543900
17.35615695,0.08163702,3.34543900
17.67615694,0.08163702,3.25632500
17.99615694,0.08163702,3.30088200
18.31615694,0.08163702,3.30088200
18.63615694,0.08163702,3.30088200
18.95615694,0.08163702,3.34543900
19.27615693,0.08163702,3.30088200
19.59615693,0.08163702,3.30088200
19.91615693,0.08163702,3.30088200
20.23615693,3.28257100,3.34543900
20.55615693,3.28257100,3.34543900
20.87615692,3.28257100,3.34543900
21.19615692,3.28257100,3.30088200
21.51615692,3.28257100,3.34543900
21.83615692,3.28257100,3.34543900
22.15615692,3.28257100,3.34543900
22.47615691,3.28257100,3.34543900
22.79615691,3.28257100,3.34543900
23.11615691,3.28257100,3.34543900
23.43615691,3.28257100,3.34543900
23.75615691,3.28257100,3.30088200
24.07615690,3.28257100,3.34543900
24.39615690,3.28257100,3.34543900
24.71615690,3.28257100,3.30088200
25.03615690,3.28257100,3.30088200
25.35615690,0.08163702,0.09247109
25.67615689,0.08163702,0.09247109
25.99615689,0.08163702,0.13702810
26.31615689,0.08163702,0.13702810
26.63615689,0.08163702,0.13702810
26.95615689,0.08163702,0.09247109
27.27615689,0.08163702,0.13702810
27.59615688,0.08163702,0.09247109
27.91615688,0.08163702,0.09247109
28.23615688,0.08163702,0.13702810
28.55615688,0.08163702,0.13702810
28.87615688,0.08163702,0.13702810
29.19615687,0.08163702,0.09247109
29.51615687,0.08163702,0.09247109
29.83615687,0.08163702,0.13702810
30.15615687,0.88183230,0.04791406
30.47615687,3.28257100,0.13702810
30.79615686,3.28257100,0.09247109
31.11615686,3.28257100,0.13702810
31.43615686,3.28257100,0.09247109
31.75615686,3.28257100,0.09247109
32.07615686,3.28257100,0.09247109
32.39615685,3.28257100,0.13702810
32.71615685,3.28257100,0.13702810
33.03615685,3.28257100,0.09247109
33.35615685,3.28257100,0.09247109
33.67615685,3.28257100,0.09247109
33.99615684,3.28257100,0.13702810
34.31615684,3.28257100,0.13702810
34.63615684,3.28257100,0.13702810
34.95615684,3.28257100,0.09247109
35.27615684,0.08163702,0.09247109
35.59615683,0.08163702,0.09247109
35.91615683,0.08163702,0.09247109
36.23615683,0.08163702,0.13702810
36.55615683,0.08163702,0.09247109
36.87615683,0.08163702,0.09247109
37.19615682,0.08163702,0.09247109
37.51615682,0.08163702,0.09247109
37.83615682,0.08163702,0.13702810
38.15615682,0.08163702,0.09247109
38.47615682,0.08163702,0.13702810
38.79615682,0.08163702,0.09247109
39.11615681,0.08163702,0.09247109
39.43615681,0.08163702,0.13702810
39.75615681,0.08163702,0.13702810
40.07615681,0.12604140,0.13702810
40.39615681,3.28257100,0.09247109
40.71615680,3.23816700,0.09247109
41.03615680,3.28257100,0.09247109
41.35615680,3.28257100,0.13702810
41.67615680,3.28257100,0.09247109
41.99615680,3.28257100,0.09247109
42.31615679,3.28257100,0.13702810
42.63615679,3.28257100,0.13702810
42.95615679,3.28257100,0.13702810
43.27615679,3.28257100,0.09247109
43.59615679,3.28257100,0.13702810
43.91615678,3.28257100,0.09247109
44.23615678,3.28257100,0.09247109
44.55615678,3.28257100,0.09247109
44.87615678,3.28257100,0.09247109
45.19615678,3.28257100,0.09247109
