Time (ns),Voltage (V)
0.000000,1.991601
122072.005272,1.933593
366215.968132,1.930370
488288.021088,1.962597
732431.936264,1.969042
854504.013062,1.951318
976562.023163,2.015771
1220705.866814,2.004492
1342777.967453,2.025438
1464849.948883,2.018993
1708993.911743,1.999658
1831065.940857,2.007714
1953125.000000,2.001268
2197268.962860,1.989990
2319340.944290,2.020605
2441412.925720,2.018993
2685556.888580,2.006103
2807628.631592,2.014159
3051759.004593,1.985156
3173830.747604,1.969042
3295902.967453,1.931982
3540046.930313,1.795019
3662118.673325,1.588769
3784190.893173,1.284228
4028321.743011,0.884619
4150393.962860,0.465674
4272465.705872,0.183691
4516609.668732,0.049951
4638681.888580,0.140185
4882811.546326,0.443115
5004883.766174,0.894287
5126955.509186,1.379296
5371099.948883,1.769238
5493171.691895,1.964208
5615243.911743,2.049608
5859373.569489,2.025438
5981445.789337,1.967431
6103518.009186,1.973876
6347661.495209,1.973876
6469733.715057,1.978710
6713877.201080,2.004492
6835935.592651,1.983544
6958007.812500,1.981933
7202151.775360,2.002880
7324223.518372,1.991601
7446295.738220,2.001268
7690439.701080,2.009325
7812500.000000,1.983544
7934571.266174,1.996435
8178715.705872,2.009325
8300787.925720,2.001268
8544931.411743,2.020605
8667003.631592,2.015771
8789059.638977,1.988378
9033203.125000,1.991601
9155275.344849,1.943261
9277347.564697,1.828857
9521491.050720,1.662890
9643563.270569,1.355126
9765623.092651,0.961963
10009768.009186,0.584912
10131839.513779,0.256201
10253911.018372,0.070898
10498055.219650,0.109570
10620127.916336,0.385107
10864255.428314,0.842724
10986328.125000,1.318066
11108399.629593,1.712841
11352543.830872,1.907812
11474615.335464,2.065722
11596688.032150,2.033495
11840819.168091,2.010937
11962891.769409,1.981933
12084963.321686,1.965820
12329107.522964,1.999658
12451179.027557,2.002880
12695311.307907,1.977099
12817383.956909,1.991601
12939455.509186,1.981933
13183599.710464,1.967431
13305671.215057,1.994823
13427743.911743,1.970654
13671871.423721,1.965820
13793944.120407,1.985156
13916015.625000,1.970654
14160160.064697,1.985156
14282231.330872,1.996435
14526375.770569,1.973876
14648435.115814,1.965820
14770507.812500,1.972265
15014652.252197,1.917480
15136723.518372,1.849804
15258794.784546,1.675781
15502939.224243,1.371240
15625000.000000,1.029638
15747071.266174,0.636474
15991215.705872,0.275537
16113286.972046,0.064453
16357431.411743,0.088623
16479504.108429,0.343213
16601561.546326,0.760547
16845703.125000,1.237500
16967775.821686,1.658056
17089847.564697,1.952929
17333992.958069,2.046386
17456063.270569,2.054442
17578119.277954,2.023828
17822264.671326,1.977099
17944335.937500,1.994823
18066406.250000,2.010937
18310550.689697,2.004492
18432622.909546,2.023828
18676757.812500,2.015771
18798831.939697,2.001268
18920902.252197,2.023828
19165047.645569,2.018993
19287118.911743,2.001268
19409191.131592,2.010937
19653319.358826,1.991601
19775390.625000,1.988378
19897462.844849,2.014159
20141608.715057,1.996435
20263679.027557,1.993212
20507807.731628,2.007714
20629880.428314,1.969042
20751950.740814,1.946484
20996096.134186,1.877197
21118166.446686,1.699951
21240239.143372,1.440527
21484375.000000,1.111816
21606447.696686,0.686425
21728520.393372,0.309375
21972663.402557,0.091846
22094736.099243,0.058008
22338879.108429,0.251367
22460935.115814,0.631640
22583007.812500,1.100537
22827150.821686,1.571044
22949223.518372,1.883642
23071296.215057,2.015771
23315439.224243,2.052832
23437495.231628,2.010937
23559567.928314,1.962597
23803710.937500,1.981933
23925783.634186,1.980321
24169926.643372,1.993212
24291999.340057,2.014159
24414055.347443,1.993212
24658198.356628,1.996435
24780271.053314,2.020605
24902343.750000,2.004492
25146486.759186,2.012548
25268559.455872,2.014159
25390622.615814,1.989990
25634768.009186,1.977099
25756838.321686,2.015771
25878911.018372,2.006103
26123054.027557,2.018993
26245126.724243,2.009325
26489255.428314,1.986767
26611328.125000,1.978710
26733398.437500,1.906200
26977543.830872,1.749902
27099614.143372,1.532372
27221686.840057,1.184326
27465815.544128,0.755713
27587888.240814,0.399609
27709958.553314,0.148242
27954103.946686,0.069287
28076173.782349,0.219141
28320312.500000,0.583301
28442382.812500,1.066699
28564455.032349,1.522705
28808598.518372,1.844970
28930671.691895,2.012548
29052743.911743,2.057665
29296870.231628,2.001268
29418943.405151,1.959374
29541015.625000,1.969042
29785158.157349,1.960986
29907231.330872,1.993212
30151374.340057,1.996435
30273430.347443,1.973876
30395503.044128,1.991601
30639648.437500,1.989990
30761718.750000,1.977099
30883791.446686,1.996435
31127934.455872,1.985156
31250000.000000,1.970654
31372070.312500,1.989990
31616215.705872,1.978710
31738286.018372,1.983544
31860358.715057,2.001268
32104504.108429,1.978710
32226560.115814,1.980321
32470703.125000,1.972265
32592773.437500,1.896533
32714843.750000,1.793407
32958991.527557,1.582324
33081061.840057,1.240722
